-150	-18
196	-40
85	3
-15	192
8	95
183	-133
-148	21
193	122
40	-23
115	-30
-157	118
-142	-135
25	11
41	174
94	-174
26	-111
76	-148
106	-31
108	34
186	-2
11	-150
1	13
-65	83
55	92
-5	-101
-96	-97
-35	92
26	53
122	45
70	-124
-163	-34
33	-43
157	-43
154	-7
159	101
-16	-10
-81	-90
-141	-175
90	-73
-114	145
-12	-58
-186	-92
-12	56
-47	-103
-16	43
75	-30
-99	-17
-17	110
173	171
-48	-178
171	-93
-84	-195
-60	-186
-36	-175
-102	42
-55	-56
173	94
139	-168
62	-18
6	-4
189	168
-46	-91
56	35
175	97
-109	168
162	21
-197	-198
155	167
171	118
-106	-69
135	-45
-105	81
-23	199
-174	40
-127	-180
-136	133
-124	-51
96	-40
159	-157
-102	128
-153	-68
191	104
101	-136
154	60
-179	117
77	-119
114	-101
79	169
157	-132
125	-66
25	-160
-174	160
-103	-142
-134	150
-185	0
36	-77
13	-169
5	-187
-189	-157
197	168
118	139
-168	-126
80	-173
163	87
94	-71
-6	-97
161	-195
72	122
-39	182
-155	122
25	69
-170	-41
196	128
95	-62
-187	-107
-186	-182
-160	-27
-41	-28
121	76
-87	-23
-22	184
15	-49
103	-96
138	-17
67	120
-161	-93
-144	-16
101	28
87	77
-27	-106
-199	-25
105	-28
78	-25
174	91
83	200
61	-163
11	187
157	155
92	-34
-25	-130
-36	160
-118	-53
90	11
47	85
107	-70
186	-45
-19	-101
132	70
-103	85
158	-171
121	3
-130	-183
-104	136
60	138
-4	61
144	185
-178	-91
39	-161
-82	166
-176	-140
-4	142
111	-87
-27	-89
-145	44
-104	53
1	117
97	-129
45	29
117	-71
-191	111
-112	153
21	-30
30	182
117	125
-47	-150
48	-68
-99	-198
161	-182
-110	48
-97	78
95	56
-79	21
-107	102
191	-168
-172	-60
-159	30
161	197
49	177
-46	3
-107	80
-181	-106
103	24
130	-11
101	9
-186	136
-1	150
-8	-168
0	112
-168	-59
-55	-65
-137	16
-135	-159
-129	-137
188	-123
-136	-99
-86	-129
18	-109
-154	-124
2	-197
197	-197
100	133
-146	184
-63	57
52	-128
-194	186
-179	43
118	-169
188	165
-25	55
-4	-24
98	-172
-30	-119
130	94
113	-86
-185	-140
30	70
-135	105
-162	-103
-161	-45
-30	156
185	-14
104	155
158	-146
64	-17
-81	199
-125	92
-149	8
-21	-174
-99	-122
159	185
116	-2
2	-129
179	-191
66	160
77	-7
-10	-71
-29	-140
137	74
30	-182
-41	-80
-163	-37
-90	-47
193	-118
-109	-101
-104	100
-17	-91
-150	-125
-62	124
127	-163
-150	160
91	-110
129	159
150	35
76	9
-105	-71
49	144
39	-79
76	191
177	-133
-79	-196
130	38
166	51
-73	22
78	-13
163	127
94	-34
-55	24
-18	120
160	-73
-159	61
123	169
-88	148
75	-120
51	-35
-175	-174
-139	54
-138	-50
-199	-29
71	-63
-31	64
-95	106
124	4
-184	-72
184	-130
196	-157
16	84
18	21
91	-178
112	4
-120	-74
121	-92
31	-56
-70	98
149	110
69	103
88	34
-24	124
69	-122
-4	-76
141	172
-162	-75
-8	-116
-166	154
-159	-66
-169	-189
13	-108
-52	20
176	37
-107	-133
-27	39
-155	-56
-147	-36
160	5
15	168
72	-119
56	-134
175	9
166	171
-84	-156
132	-152
-65	-112
-193	-143
-23	-137
199	-22
-196	-19
-118	2
-95	14
126	-182
-85	144
-187	37
-122	-83
-126	153
-94	-64
159	-163
-26	94
71	95
-25	93
16	-36
-131	192
131	-149
-69	-96
78	147
2	-172
110	-20
-87	6
51	30
63	42
68	128
53	73
-51	159
121	-75
120	57
-56	-174
-6	151
-5	-160
6	189
50	102
-70	-102
-197	72
87	151
-35	-116
81	11
-104	-156
-141	40
190	101
47	-168
45	-191
-51	122
42	-179
77	4
130	-72
4	-180
-46	-127
151	80
188	200
-115	-105
-62	127
88	-198
95	-134
108	-29
-89	-149
-198	114
161	29
-5	-181
-180	-65
-61	181
-47	-87
164	-93
-50	38
-175	-83
29	175
-22	-78
31	78
-79	-118
-139	-146
-8	-102
-168	-15
-193	149
-34	-139
-160	-184
-124	-13
-150	73
17	19
110	-195
2	-77
199	-10
174	18
125	-86
190	127
-105	-11
159	104
11	-1
140	194
27	105
-187	97
-96	-70
168	-164
-95	177
-78	147
-100	-19
121	72
167	200
-135	-103
55	-63
92	124
-67	-49
-184	-131
-143	84
-77	-113
25	14
-38	-75
-84	191
26	113
62	138
-138	-186
-3	-194
-45	-159
-200	-107
70	107
-117	31
155	114
-58	121
75	182
161	-193
-151	147
34	58
-170	96
-66	59
137	-62
113	-27
-18	57
-152	194
-52	199
-138	-107
180	-92
-38	115
199	108
90	-160
-141	19
186	141
-103	-192
48	-81
-153	127
186	138
110	53
-14	87
-164	-91
140	-48
-74	-41
164	138
142	98
145	122
179	41
-157	76
-48	134
-148	-93
146	-136
-129	-80
-37	16
-178	-130
-81	94
-93	86
-43	-104
-53	-38
-55	-46
199	94
-6	50
56	-99
55	46
148	123
-191	-5
73	88
-165	-168
20	87
11	-162
188	20
39	-74
-145	143
-23	-53
80	-90
92	-5
-50	177
158	130
98	64
27	103
32	182
-50	-19
126	-67
68	131
-166	70
47	-122
20	-110
-179	63
70	0
-170	33
-51	116
132	-71
187	27
162	-85
-144	114
-183	18
66	-128
-196	51
74	116
66	-66
178	-38
192	175
3	73
-84	65
-181	-156
44	-190
-147	140
-173	48
-189	138
27	-175
72	87
46	-63
71	-98
117	25
100	-162
155	-195
-105	-192
-193	-41
65	162
114	-138
53	69
0	-77
-15	124
196	-80
180	-127
-194	8
194	-104
-42	192
-45	-21
-73	-160
14	97
-177	-200
38	-44
13	-89
-167	-81
86	-16
